ID,Name,Price,MRP,Rating,Total,Discount,Seller
1,Men Solid Oversized Cotton,532,1299,4.1,5300,59,Difference of Opinion
2,Men Cotton Pure Cotton T-shirt,274,499,4.2,25400,45,Roadster
3,Women Pure Cotton T-shirt,551,1199,4.5,3400,54,DILLINGER
5,Printed Round Neck Pure Cotton T-shirt,494,899,4.2,3800,45,Roadster
6,Boys Pack of 5 T-shirt,699,4995,4.1,1200,86,HELLCAT
7,Polo Collar Cotton Pure Cotton T-shirt,449,899,4.1,10500,50,Roadster
8,Boys Pack Of 5 Printed T-shirt,699,4995,4.1,2300,86,HELLCAT
9,Printed Pure Cotton T-shirt,279,699,4.2,55400,60,HRX by Hrithik Roshan
10,Printed Round Neck Pure Cotton T-shirt,399,799,4.1,5600,50,Roadster
11,Printed Round Neck Pure Cotton T-shirt,419,699,4.1,6900,40,Roadster
12,Longline T-shirt with Raw Edge,463,799,3.9,11600,42,Roadster
13,Printed Oversized Pure Cotton T-shirt,551,1199,4.5,5500,54,DILLINGER
14,Men Camouflage Printed Loose T-shirt,479,1199,4.1,1900,60,VEIRDO
15,Time Travlr Sleveless Pure Cotton T-shirt,124,499,4.1,5100,75,Roadster
16,Men Striped Polo Collar T-shirt,1199,1999,4.6,180,40,Louis Philippe Sport
17,Men Striped Polo Collar T-shirt,349,1399,4.1,3800,75,Roadster
18,Henley Neck T-shirt,274,499,4.2,3600,45,Roadster
19,Typography Cotton T-shirt,299,599,4,29100,50,Roadster
20,Women Candy Stripes T-shirt,494,1099,4.2,1800,55,Moda Rapido
21,Printed Cotton Pure Cotton T-shirt,399,799,4.2,12500,50,Roadster
22,Cotton Oversized T-Shirt,545,1299,4.6,1300,58,DILLINGER
23,Solid Round Neck T-shirt,359,799,4.1,6400,55,Roadster
24,Printed Cotton Pure Cotton T-shirt,384,699,4.2,66900,45,HRX by Hrithik Roshan
25,Slim Tropical Printed Pure Cotton T-shirt,461,1099,4.1,11900,58,Urbano Fashion
26,Men Polo Collar Slim Fit T-shirt,1699,1699,4.5,295,0,U.S. Polo Assn.
27,Colourblocked Pure Cotton,349,699,4.3,1700,50,Roadster
28,Men Printed Football T-shirt,3849,5499,4.8,42,30,Puma
29,Colourblocked Raw Edge T-shirt,359,799,4,5300,55,Roadster
30,Polo Collar Cotton Pure Cotton T-shirt,454,1299,4.1,9800,65,HERE&NOW
31,Women Typography Printed Loose T-shirt,524,1499,4.4,485,65,DILLINGER
32,Curl Edge Cotton T-shirt,199,399,4,1500,50,Roadster
33,Men Colourblocked Polo Collar T-shirt,449,899,3.9,95,50,Roadster
34,Men Solid Pure Cotton T-shirt,1299,2599,4,622,50,Nautica
35,Drop Shoulder Longline T-shirt,319,799,4.1,9600,60,Roadster
36,Printed Round Neck T-Shirt,1799,1999,4.5,67,10,Puma
37,Women White Wide T-shirt,699,699,4.2,780,0,H&M
38,Rapid Dry Raglan Polo T-shirt,714,1299,3.9,800,45,HRX by Hrithik Roshan
39,Printed Boxy Fit T-shirt,279,799,4.1,7900,65,Roadster
40,Men Solid Pure Cotton T-shirt,1299,2599,4.4,620,50,Nautica
41,Polo Collar Oversized T-shirt,1393,1699,3.9,34,18,Bonkers Corner
42,Printed Pure Cotton T-shirt,359,599,4.3,1500,40,Roadster
43,Men 2022 Fan Jersey,844,1299,4.4,788,35,Puma
44,Striped Henley Neck Pure Cotton T-shirt,449,899,4,2800,50,Roadster
45,Printed Henley T-shirt,314,899,4.2,7900,65,Roadster
46,Oversized Pure Cotton T-shirt,659,1199,4.4,1900,45,Kook N Keech
47,Ultralyte Men Running T-shirt,494,899,4.4,14400,45,HRX by Hrithik Roshan
48,Printed Round Neck Pure Cotton T-shirt,319,799,4.2,3800,60,Roadster
49,Solid Polo Collar Pure Cotton T-shirt,449,1499,4.1,341,70,Roadster
50,Polo Collar Cotton Pure Cotton T-shirt,764,1699,4.1,12200,55,HERE&NOW
51,Women Mid Rise Shorts,532,1299,0,0,59,BRINNS
52,Puffed Sleeves Casual Shirt,899,1499,0,0,40,Wool Trees
53,Typography Printed T-shirt,559,699,0,0,20,Okane
54,Embroidered Georgette Top,847,2499,0,0,1652,WEAVETECH IMPEX
55,Lace Inserted Pure Cotton Top,1999,1999,0,0,0,Sztori
56,Shoulder Straps Fitted Top,493,1299,0,0,62,BRINNS
57,Shirt Collar Checked Dress,1649,1649,0,0,0,Styli
58,Cotton Knitted Twisted Dress,2249,2999,0,0,25,Urban Revivo
59,Modal Oversized T-shirt,749,1049,0,0,300,Kanvin
60,Flared Sleeve Maxi Dress,1449,1449,0,0,0,Styli
61,Women Straight Fit Jeans,2199,2199,0,0,0,ELLIS
62,V-Neck Shirt Style Top,797,1899,0,0,58,RAASSIO
63,Striped Halter Neck Top,899,2999,0,0,70,GUTI
64,Printed Cotton Co-Ords Set,1399,3499,0,0,60,TAG 7
65,Striped Pocket Detail T-shirt,799,799,0,0,0,Mast & Harbour
66,Women Mid Rise Knitted Tights,1329,1399,0,0,5,Sweet Dreams
67,Kimono Sleeves Kaftan Top,573,1739,0,0,67,DressBerry
68,Floral Print Wrap Crop Top,1999,1999,0,0,0,SHEETAL Associates
69,Printed A-Line Midi Dress,1399,1999,0,0,30,SASSAFRAS
70,Tropical Print Wrap Midi Dress,4199,5599,0,0,25,Urban Revivo
71,Wrap-Style T-shirt Midi Dress,2249,2999,0,0,25,Urban Revivo
72,Women Extended Sleeves T-shirt,799,799,0,0,0,Roadster
73,Women Mid Rise Cotton Leggings,494,549,0,0,10,LYRA
74,Women Pack Of 3 Sports Shorts,575,1799,0,0,68,Jinfo
75,Women Straight Fit High-Rise Jeans,2999,3999,0,0,25,Urban Revivo
76,Fitted Cinched Waist Top,1239,3099,0,0,60,NEUDIS
77,Women Pack Of 3 Sports Shorts,575,1799,0,0,68,Jinfo
78,Women Mid Rise Shorts,531,1399,0,0,62,BRINNS
79,Women Pack Of 3 Yoga Shorts,575,1799,0,0,68,Jinfo
80,Geometric Printed Top,759,1999,0,0,62,BRINNS
81,Printed Basic Jumpsuit,1739,4349,0,0,60,Juniper
82,Printed Crop Top,6999,6999,0,0,0,ADIDAS
83,Cotton Relaxed Fit T-shirt,499,499,0,0,0,Styli
84,Print Denim A-Line Mini Dress,2000,2000,0,0,0,SUMAVI-FASHION
85,Women Mid-Rise Plain Trousers,494,549,0,0,10,LYRA
86,Sleeveless Fit & Flare Dress,1735,2799,0,0,38,BoStreet
87,Women Maternity Track Pants,1999,1999,0,0,0,Frempy
88,Women High Rise Knitted Tights,1519,1599,0,0,5,Sweet Dreams
89,Women Typography Printed Applique T-shirt,599,999,0,0,40,T-SHIRT TRUCK
90,Puff Sleeves Cotton Top,1049,1049,0,0,0,Styli
91,Print Maxi Dress,3599,4799,0,0,25,Urban Revivo
92,Flared Sleeves Crop Top,1999,1999,0,0,0,SHEETAL Associates
93,Shoulder Straps Mini Dress,1599,2499,0,0,36,BoStreet
94,Halter Neck Top,899,2999,0,0,70,GUTI
95,Women Shrug,625,1199,0,0,574,Nimble
96,Sleeveless Fitted Crop Top,384,699,0,0,45,Disrupt
97,Floral Print Chiffon Fit & Flare Dress,599,1999,0,0,70,MODWEE
98,Top Solid,899,2999,0,0,70,GUTI
99,Women Stretchable Cotton Jeans,1199,2399,0,0,50,urSense
100,Women Skinny Fit Jeans,2999,2999,0,0,0,Vero Moda
101,Gold-Plated Jewellery Set,1488,4800,0,0,69,GRIIHAM
102,UV Protected Oval Sunglasses,4999,4999,0,0,0,RESIST EYEWEAR
103,Rhodium-Plated Jewellery Set,1484,5499,0,0,73,Aazeen
104,Gold-Plated Finger Ring,369,369,0,0,0,MYKI
105,Set of 6 Hair Accessory,599,599,0,0,0,Hair Flare
106,Wayfarer Sunglasses,1043,1490,0,0,30,MAGNEQ
107,Gold-Plated Jewellery Set,645,1699,0,0,1054,MANSIYAORANGE
108,Women Textured Casual Belt,391,1399,0,0,72,CRUSSET
109,Body Wash With Body Spray,514,514,0,0,0,FRENCH ESSENCE
110,Studs Earrings,1258,1573,0,0,20,PALMONAS
111,Set Of 2 Gold-Plated Anklets,2995,2995,0,0,0,Silvermerc Designs
112,Gold-Plated Long Jewellery Set,465,1699,0,0,1234,MANSIYAORANGE
113,Gold-Plated Necklace,339,1699,0,0,80,ROFARWORD
114,Gold-Plated Jewellery Set,309,1549,0,0,80,ROFARWORD
115,Gold-Plated Jewellery Set,1395,4500,0,0,69,GRIIHAM
