Name,Ratings,ReviewCount,Location,Cuisine,Cost (for two)
Quarterdeck,3.9,225,"4 Bungalows, Mumbai","North Indian, Mughlai, Chinese, Seafood",800
WTF!,4.2,"1,075","7 Bungalows, Andheri West, Mumbai","North Indian, Chinese, Continental","1,500"
Cafe Holiday,3.6,29,"7 Bungalows, Andheri West, Mumbai","Continental, Oriental, American, Fast Food, Desserts, Beverages","1,500"
The Cottage Bar - Abbott Hotel,3.6,73,"Abbott Hotel, Vashi, Navi Mumbai","North Indian, Chinese, Seafood, Continental, Mughlai, Beverages, Desserts","1,400"
The Atrangii House,4.4,653,"Airoli, Navi Mumbai","North Indian, Chinese, Continental, Asian, Beverages","1,500"
Surbhi Malvani Kitchen & Bar,4.1,212,"Airoli, Navi Mumbai","Malwani, North Indian, Chinese, Biryani, Seafood, Maharashtrian, Desserts, Beverages",600
Celebration Restro and Bar,3.8,4,"Airoli, Navi Mumbai","North Indian, Mughlai, Chinese",800
Sudama- Dining Bar,3.9,259,"Ambernath, Thane","North Indian, Chinese, Continental, South Indian, Mughlai, Malwani, Desserts",900
Malabar Resto-Bar,3.6,31,"Ambernath, Thane","North Indian, Chinese, Biryani",800
Hotel S3 Park,3.5,52,"Ambernath, Thane","North Indian, Asian, Continental, Mughlai, Maharashtrian, South Indian","1,000"
Sin City Rooftop Resto & Lounge,4.6,"1,882","Andheri Lokhandwala, Andheri West, Mumbai","Continental, North Indian, Thai, Italian","2,500"
Loco Loca,4.3,"1,034","Andheri Lokhandwala, Andheri West, Mumbai","Continental, Italian, Mexican, Beverages","1,500"
The Flying Saucer,4.2,486,"Andheri Lokhandwala, Andheri West, Mumbai","Bar Food, Fast Food, Chinese, North Indian","1,900"
The Terrace - A Maiden Affair,4.2,293,"Andheri Lokhandwala, Andheri West, Mumbai","Continental, Italian, Chinese, Fast Food, Salad, Desserts","1,500"
ABCD - Any Body Can Driink,3.8,37,"Andheri Lokhandwala, Andheri West, Mumbai","Bar Food, North Indian, Continental, Italian, Chinese","2,000"
Otium Rooftop Lounge,3.7,120,"Andheri Lokhandwala, Andheri West, Mumbai","North Indian, Continental, Finger Food","1,800"
Cafe Orritel,3.7,108,"Andheri Lokhandwala, Andheri West, Mumbai","North Indian, Chinese","1,000"
AJ's Quarter Bar and Kitchen,3.6,9,"Andheri Lokhandwala, Andheri West, Mumbai","North Indian, Chinese, Fast Food",800
Barbeque Nation,4.5,,"Atria Mall, Worli, Mumbai","North Indian, Kebab, BBQ, Chinese","2,000"
Mustard,4.3,544,"Atria Mall, Worli, Mumbai","French, Bengali","2,100"
Global Fusion,4.3,,"Atria Mall, Worli, Mumbai","Chinese, Japanese, Asian, North Indian","2,500"
South Bombay Bar,4.2,670,"Atria Mall, Worli, Mumbai","Modern Indian, Italian, Continental, Finger Food, North Indian","2,000"
Bombay Street Co.,4.2,,"Atria Mall, Worli, Mumbai","North Indian, Fast Food, Chinese, Desserts","1,000"
The Game,4,,"Atria Mall, Worli, Mumbai",Fast Food,"1,400"
Matahaari,3.8,672,"Atria Mall, Worli, Mumbai","Continental, Mediterranean, American, Italian, Chinese, Japanese, Finger Food, Asian","3,000"
Happy Thai,3.7,,"Atria Mall, Worli, Mumbai","Thai, Japanese, Asian, Sushi, Seafood","2,000"
Lume Restaurant & Bar,4,789,"Aureole Hotel, Andheri East, Mumbai","North Indian, Chinese, Italian, Pizza, Fast Food","1,200"
Road House Bluez,4.3,930,"Azad Nagar, Mumbai","Chinese, Finger Food, Pizza, North Indian","1,800"
Nidhi Family Restaurant And Bar,3.7,13,"Badlapur, Thane","North Indian, Chinese, Mughlai, Biryani",850
Craftbar,4.4,"2,201","Bandra East, Mumbai","Continental, Bar Food, Beverages, North Indian","2,000"
CinCin,4.4,"2,056","Bandra East, Mumbai","Italian, European, Fast Food, Beverages, Desserts","2,800"
90ML Bar & Kitchen,4.1,874,"Bandra East, Mumbai","Continental, Asian, North Indian","1,400"
Krishna Restaurant,4.1,,"Bandra East, Mumbai","North Indian, Chinese, Mughlai, Seafood, Thai",500
Celebrations 365,3.9,,"Bandra East, Mumbai","South Indian, Continental, Chinese, North Indian, Desserts, Beverages",800
Hotel Sagar Express,3.9,,"Bandra East, Mumbai","North Indian, Chinese, South Indian, Fast Food",300
Istanbuli Cafe,3.9,,"Bandra East, Mumbai","Turkish, Beverages",700
Viraj,3.9,,"Bandra East, Mumbai","Chinese, North Indian, Malwani, Kebab, Mughlai",500
Piping Hot,3.8,81,"Bandra East, Mumbai","Asian, Continental, North Indian","1,500"
Amber,3.8,,"Bandra East, Mumbai","North Indian, Mughlai, Chinese, Biryani",600
Arma Court,3.8,,"Bandra East, Mumbai","North Indian, Chinese, Fast Food",400
Highway Gomantak,3.8,,"Bandra East, Mumbai","Malwani, Maharashtrian",500
Amey,3.7,,"Bandra East, Mumbai","North Indian, South Indian, Maharashtrian, Chinese, Street Food, Beverages",700
Hello Drunkies,3.7,,"Bandra East, Mumbai","Beverages, Fast Food",300
Only Parathas,3.7,,"Bandra East, Mumbai","North Indian, Chinese, Beverages",950
Varde's Foodland,3.7,,"Bandra East, Mumbai","North Indian, Malwani",700
Bande Nawaz,3.6,,"Bandra East, Mumbai","North Indian, Maharashtrian, Chinese",350
Chinar Restaurant and Bar,3.6,,"Bandra East, Mumbai","Chinese, North Indian, Kebab, Mughlai",600
Eggology Surti Ghotala & More,3.6,,"Bandra East, Mumbai","Street Food, Chinese",400
Gupta's SnackHub,3.6,,"Bandra East, Mumbai","Rolls, Fast Food, Juices, Beverages",500
Hotel Karimi,3.6,,"Bandra East, Mumbai","North Indian, Chinese, Mughlai",400
Rajyog,3.6,,"Bandra East, Mumbai","North Indian, Chinese, Seafood, Continental, Desserts",800
The Shawarma Fusion,3.6,,"Bandra East, Mumbai",Lebanese,200
Aaram,3.5,,"Bandra East, Mumbai",Gujarati,500
Amber Restaurant,3.5,,"Bandra East, Mumbai","North Indian, Chinese, Mughlai",450
Hotel Sanjay,3.5,,"Bandra East, Mumbai","Chinese, North Indian, South Indian, Street Food",500
Huoban,3.5,,"Bandra East, Mumbai",Chinese,450
Sabri,3.5,,"Bandra East, Mumbai","North Indian, Chinese",500
The Fusion House,3.5,,"Bandra East, Mumbai",Chinese,300
Ujala Restaurant & Bar,3.5,,"Bandra East, Mumbai","Chinese, North Indian, Seafood, Biryani, Kebab",700
Yauatcha,4.9,,"Bandra Kurla Complex, Mumbai","Asian, Cantonese, Chinese, Seafood","2,800"
O Pedro,4.8,"1,654","Bandra Kurla Complex, Mumbai","Goan, Beverages, Fast Food","1,800"
